country,year,CO2_per_capita,EDS,Control_of_Corruption,Rule_of_Law,Political_Stability,Government_Effectiveness,Regulatory_Quality,Voice_and_Accountability,Age_dependency_ratio,Tertiary_enrollment,Female_labor_participation,Population_total,Urban_population_pct,Population_growth,Life_expectancy,Mortality_rate_adult_male,Railways_route_km,Electric_power_losses,Container_port_traffic,Air_freight_million_ton_km,Mobile_cellular_subscriptions,Internet_users,Fixed_broadband_subscriptions,Secure_servers,Fixed_telephone_subscriptions,Domestic_credit_to_private_sector,Market_capitalization,Broad_money_pct_GDP,Lending_interest_rate,Inflation_consumer_prices,Inflation_GDP_deflator,GDP_per_capita_current,GDP_per_capita_constant,GDP_growth,Trade_openness,FDI_net_inflows_pct_GDP,Current_account_balance_pct_GDP,Gross_capital_formation_pct_GDP,Gross_savings_pct_GDP,Exports_pct_GDP,Imports_pct_GDP,Industry_value_added_pct_GDP,Manufacturing_value_added_pct_GDP,Services_value_added_pct_GDP,Agriculture_value_added_pct_GDP,Central_govt_debt_pct_GDP,Energy_use_per_capita,Renewable_energy_consumption_pct,Access_to_electricity_pct,Methane_emissions_kt_CO2_eq,Nitrous_oxide_emissions_kt_CO2_eq,Forest_area_pct,Agricultural_land_pct,Arable_land_pct,Research_and_development_expenditure_pct_GDP,High_tech_exports_pct_mfg_exports,Scientific_journal_articles,Patent_applications_residents,Patent_applications_nonresidents,Govt_expenditure_education_pct_GDP,Current_health_expenditure_pct_GDP,OECD,DCI,DCI_L1,CATE
SWE,2010,4.42427592705737,16.2156422129365,2.21972584724426,1.93030881881714,1.09417045116425,1.96262037754059,1.65624058246613,1.54272592067719,53.5668026337551,73.0818328857422,58.99,9378126.0,85.1334228515625,0.852524628765313,81.4512195121951,71.863,9968.0,7.10948649594744,1397145.0,473.0,117.212,90.0,31.984,1201.19947204804,50.5,123.280099698326,49.3578142021198,62.2172684663498,9.420833333333334,1.15798802715628,1.03023451831319,52542.5759090299,48205.5492512742,5.75076477579255,85.0914849272733,0.126859666003953,5.92506783771235,22.4219023210946,28.3752178713302,44.8770299089346,40.2144550183387,23.8590077358558,14.9200876020762,62.9438881558682,1.36161648243538,47.5836093800197,5443.32366800687,44.7,100.0,813633.126118236,470369.947016,68.9179080752502,7.54579040540365,6.428541092361,3.16789,19.4114842380157,17935.11,2196.0,353.0,6.56318998336792,8.31963825,1,0.8124568752286628,0.8207696860067001,-0.6059520465931424
SWE,2011,3.69150994831909,19.414871689462,2.16803646087646,1.91803658008575,1.23068809509277,1.92519795894623,1.89224195480347,1.61295545101166,54.5597028804313,71.9184112548828,59.54,9449213.0,85.3600748880524,0.755150133665177,81.8024390243903,70.821,10014.0,7.04564342940727,1495064.0,495.0,121.219,92.77,32.0391,1711.67694071453,47.4,124.767458149755,49.3578142021198,63.6081890144641,9.420833333333334,2.9611507382214,1.11731713646294,60379.4814599322,49356.5905257047,3.16388567406926,86.3907448060188,1.22329216394859,5.51028500175062,23.2373150954555,28.3369852346343,45.4141189699788,40.9766258360399,23.7337228802394,14.7658035471118,63.3981651455389,1.41167566441203,47.5836093800197,5281.40096330574,45.4,100.0,586685.659595503,346243.740597846,68.8722459411641,7.51976789888145,6.39294426740138,3.18702,18.6981620670435,18466.61,2004.0,337.0,6.40656995773315,10.41646671,1,0.8569745012126544,0.8124568752286628,-0.7772978552017301
SWE,2012,2.9157075008956297,18.7485240999425,2.27712059020996,1.92827761173248,1.17059719562531,1.91103565692902,1.90003883838654,1.69035804271698,55.6781619872381,68.742301940918,59.731,9519374.0,85.6250668883122,0.739763272434863,81.7048780487805,68.068,9944.0,6.58017182893955,1501991.0,516.0,124.465,93.18,32.283,2392.48925402027,43.8,128.741480388616,49.3578142021198,65.4037124496073,9.420833333333334,0.888377506923638,0.949478662939768,57749.5615420853,48789.7906883637,-0.414397702454409,85.2980605424359,0.777373680569341,5.53304332576063,21.9937736525354,26.7330460461636,44.8335680407679,40.464492501668,23.1051457982894,14.075787455749,64.301791249552,1.252545647128,47.5836093800197,5295.92806615816,48.3,100.0,579810.839563368,338635.604019692,68.826583807078,7.44219137000395,6.36765824691283,3.23025,17.9838317924104,19421.58,2288.0,148.0,7.57456016540527,10.7351532,1,0.8766313899610908,0.8569745012126544,-0.7672937626216828
SWE,2013,2.7582302715953,19.9062290317886,2.239426612854,1.95059812068939,1.12777805328369,1.78899824619293,1.8954666852951,1.65803611278534,56.8428650266998,65.7820892333984,60.14,9600379.0,85.9249771259894,0.847348652246305,81.9560975609756,67.302,9765.0,6.53082276745492,1455537.0,592.0,125.142,94.7836,32.7855,2690.51878056064,40.9,131.023007766672,49.3578142021198,66.4633364310314,9.420833333333334,-0.0442929701485858,1.01168043710824,60843.9888799369,48928.4994141291,1.13766671801426,81.6402521329964,0.254697509424602,4.70549381033489,21.899375975039,26.287204290023,42.736274814874,38.9039773181224,21.9846853173318,13.3620553717027,65.4244862516873,1.23062537056738,47.5836093800197,5178.9349383913,47.3,100.0,102959.312311233,99245.479248,68.7809216729919,7.4534350567843,6.35494158806519,3.26042,18.0253832958642,20023.76,2332.0,163.0,7.64657020568848,10.90491486,1,0.9166466467782676,0.8766313899610908,-0.7832954966413765
SWE,2014,2.24358109522707,21.8939910805469,2.11085391044617,1.97514510154724,1.06541478633881,1.68137550354004,1.8051632642746,1.61101567745209,57.9349102431268,64.9541931152344,60.293,9696110.0,86.2563838747314,0.992219728591882,82.2536585365854,66.376,9689.0,4.77343277171473,1471086.0,686.0,126.98,92.5236,33.8414,3148.78853478354,39.0,130.317892577225,49.3578142021198,66.4676842095172,9.420833333333334,-0.179638494114635,1.83274334863978,59583.4584491714,49557.6183647959,2.29577238758284,83.8229810483527,-1.0454392642501,3.44736840993781,22.8644895912017,26.2857864226733,43.4587323957165,40.3642486526362,21.6084554046683,13.0439345797552,65.9159475091998,1.25159385276156,47.5836093800197,4997.87990362276,48.6,100.0,100277.000729942,103021.416528,68.7352595389057,7.45341050724985,6.33557200538028,3.10184,17.8774672401497,21042.01,1984.0,441.0,7.62924003601074,10.9479475,1,0.922178419006455,0.9166466467782676,-0.7585647217132471
SWE,2015,1.1100314153714799,21.6877368184497,2.14546346664429,1.99032938480377,0.932670474052429,1.6848486661911,1.80380487442017,1.56545448303223,58.8360981487734,66.4283218383789,60.582,9799186.0,86.6158654081858,1.05745468551674,82.2048780487805,66.933,9716.0,4.31060007895776,1457679.0,594.0,128.974,90.6102,35.6778,4207.90053377903,36.3,127.51740985919,49.3578142021198,66.4087331975714,9.420833333333334,-0.0467847449832812,2.25576478043419,51188.1652120493,51188.1652120493,4.38824673608589,84.1730765958171,1.94926707461038,2.71694586220694,23.7906694877918,26.1607531122864,43.7114624281719,40.4616141676452,22.2743619851494,13.7574995225643,65.1985990806762,1.30311590626755,47.5836093800197,4573.58907986933,51.9,100.0,96707.9388085879,104596.135408,68.6944981353789,7.43498868578537,6.32242261090945,3.21903,18.1290954128906,21197.56,2038.0,390.0,7.49443006515503,10.80418396,1,0.9619282360458133,0.922178419006455,-0.5507438895977275
SWE,2016,1.1341658164947601,18.9555166015632,2.10577654838562,1.95228481292725,1.00078213214874,1.66307485103607,1.84277331829071,1.56508469581604,59.4873080659899,68.306037902832,60.713,9923085.0,87.0,1.25645398510305,82.3073170731707,63.956,9684.0,5.49259662842126,1509886.0,690.0,126.402,89.6509,37.0822,6205.93293315536,31.3,129.172366333007,49.3578142021198,69.6203174238942,9.420833333333334,0.984269244577992,1.65920932545671,51703.5088332851,51626.3235312369,2.13117914731151,83.4519478574149,3.01534061830454,2.01094417852559,24.3491111935187,25.7385031216059,42.9375471367813,40.5144007206336,22.0060731182678,13.5121304151952,65.1614994624159,1.2811871059035,47.5836093800197,4858.89940544006,50.9,100.0,95546.9386774697,104670.160152,68.6944981353789,7.41674708031197,6.29882882509526,3.24736,17.8376016375053,21161.98,2032.0,352.0,7.63990020751953,10.85240364,1,1.010881189099046,0.9619282360458133,-0.6227888062820197
SWE,2017,0.722608099449903,21.1984369322429,2.09996318817139,1.81969857215881,0.968603014945984,1.67575168609619,1.79004573822021,1.56944692134857,59.9437746878275,70.4342498779297,61.06,10057698.0,87.237373786911,1.34744505956262,82.409756097561,63.288,9684.0,5.78082191780822,1557281.0,762.0,124.473,93.0063,38.3266,13619.1203991212,26.0,132.715906095455,49.3578142021198,73.5733579534849,9.420833333333334,1.79449904665589,2.22554282042857,53210.2233318965,51894.3748177808,1.88282184966646,86.0693088740521,4.54156677126576,2.18976179161859,25.0919649215298,26.789303478275,43.9177471861903,42.1515616878618,22.1839062370905,13.3499842845446,64.9520864398133,1.32101626320131,47.5836093800197,4926.81117539334,51.8,100.0,94844.0221342363,108096.62956,68.6944981353789,7.39330060221358,6.27312362868792,3.36279,15.1103424459526,21174.66,1992.0,305.0,7.63850021362305,10.78509998,1,1.167128377926316,1.010881189099046,-0.6781119040311125
SWE,2018,0.671612698549763,21.1014867837737,2.10963678359985,1.78407502174377,0.921417593955994,1.67109441757202,1.82550489902496,1.58079731464386,60.3159015203771,73.4083786010742,61.283,10175214.0,87.4737430925296,1.16164515996039,82.5585365853659,62.062,9708.0,6.44859241126071,1600175.0,991.0,124.086,89.247,38.7413,18608.4538369414,21.3,133.266789972115,49.3578142021198,73.1416538488023,9.420833333333334,1.95353530127028,2.61445551998212,54018.4554391861,52203.0872589761,1.7702553546772,90.4087142361701,-0.129928906336358,2.08249358421542,25.3360254860097,27.0039867108791,45.9408514773526,44.4678627588174,22.2729867092578,13.4279172772114,64.8986769536089,1.25008450476649,47.5836093800197,4966.26111814633,51.6,100.0,91635.8533457637,104580.709568,68.6944981353789,7.36634329022193,6.24091234149935,3.32106,14.1643140590828,21255.37,1838.0,442.0,7.69824981689453,10.94106293,1,1.1773112291353218,1.167128377926316,-0.6842216535045944
SWE,2019,0.44238106713304703,22.3549750668248,2.09194946289062,1.79216158390045,1.01188635826111,1.67401242256165,1.79326152801514,1.5590580701828,60.5841239468728,75.1148529052734,61.346,10278887.0,87.7088420242759,1.01372226345511,83.109756097561,58.136,9701.0,6.28714252637453,1623363.0,985.655671715528,125.457,94.4934,39.2906,25688.2870684346,17.0,131.822474370602,49.3578142021198,74.5050864483124,9.420833333333334,1.78415097403835,2.42588744842773,51648.9892820514,53024.4099494317,2.60823012869524,92.7511390290561,2.9559286166832,5.18672004700676,24.4772455073125,29.2793920090294,48.2886583812982,44.4624806477579,22.3760709701034,13.1846571322397,65.0399033572829,1.25718377928626,47.5836093800197,4781.87568337501,52.9,100.0,62681.650107706,77741.072376,68.6996660773915,7.37821646042035,6.23649577686113,3.38758,14.5057835745267,21466.94,1802.0,388.0,7.66306018829346,10.83224297,1,1.3351140811104367,1.1773112291353218,-0.5490728468083774
SWE,2020,0.259439131450198,24.8443455886025,2.09451055526733,1.76741015911102,0.997376799583435,1.6700267791748,1.67861640453339,1.49804127216339,60.7610678252936,79.1196365356445,60.624,10353442.0,87.9424046895699,0.722703912882934,82.3560975609756,60.859,9711.0,5.06918630556725,1612953.0,304.418496636947,123.549,94.5394,40.368,32739.7400787101,14.3,138.459181444506,49.3578142021198,88.165306995714,9.420833333333334,0.497367318853572,1.79876774959563,52568.5726980146,51624.5811789573,-1.93379704032216,84.4745958141618,3.36375559523307,5.60615176450581,24.4207542408468,29.9815561986095,44.2873771533388,40.187218660823,21.8184248297627,12.6551436257382,65.6476199690595,1.19622450679304,47.5836093800197,4284.99805555044,57.8,100.0,38336.74848,51048.578992,68.6996660773915,7.38067177371833,6.23404046356315,3.4896,15.1359508380239,21766.86,1764.0,432.0,7.95333003997803,11.33296967,1,1.437555376444387,1.3351140811104367,-0.49119161631448255
THA,2001,3.2637030423084004,0.83590152040794,0.6759053468704226,1.017451822757725,0.344406634569168,1.048352777957915,0.985452622175217,0.9942125380039216,43.3792360174805,38.9344787597656,65.344,63651141.0,32.7428054763889,1.01584846841136,71.52,257.058,9821.0,9.20035149384886,3387071.0,1669.242,11.8615,5.55633,0.00253413,2365.5882588423647,9.5,93.5718818734975,29.8788303209298,122.759135124577,7.27083333333333,1.62690887314091,1.91753224493053,1889.93432467144,3599.02524877358,3.44424900968372,120.267966273533,4.21223509530842,4.24027233043998,23.1124372100211,28.2255095772685,63.250689756653,57.01727651688,36.3210034946673,27.8267674786216,55.0997090552462,8.57928745008654,24.5783340358589,1174.20279195013,19.9,90.4,5218802.25586633,1185987.59352,37.3965041398344,43.0386188807767,34.7198026972538,0.25231,15.6186928492244,1791.16,534.0,4798.0,4.81787014007568,3.02623773,0,-1.2959063924400087,-0.7650863446543524,-1.6611319174233392
THA,2002,3.44512591485781,0.841557355891953,-0.338848352432251,0.386922985315323,0.506276667118073,0.261051058769226,0.138986304402351,0.321516633033752,42.9588444120937,40.1257095336914,65.182,64266437.0,34.0732781018222,0.962026884907362,71.775,252.472,9821.0,7.26151926834414,3799090.0,1823.591,27.1524,7.53125,18.4156,2365.5882588423647,10.2,93.5718818734975,33.8823928277229,115.210557860558,6.77583333333333,0.697308976625449,1.69045805604154,2089.75183111554,3783.75422073266,6.14903605210036,114.969743021067,2.48815301889834,3.46550516817668,22.7441937694577,28.103890614555,60.6457526009701,54.3239904200966,36.8944314471526,28.5150317752876,54.4133903727448,8.6921781801026,30.0703562721572,1286.14403684353,19.9,91.0,5250980.60739859,1238517.54616,37.6069212550647,43.2206541525573,34.8039695433459,0.23055,15.6186928492244,2144.38,615.0,3874.0,3.86491990089417,3.334723,0,-0.7126008580592854,-1.2959063924400087,-1.6993227843814875
THA,2003,3.5613337523804605,0.938780089714699,-0.196023553609848,0.153711155056953,-0.145084381103516,0.305083304643631,0.357130825519562,0.218241095542908,42.6269343596548,41.1551513671875,65.047,64868166.0,35.4270354382579,0.931947504633534,72.101,247.634,9821.0,7.31046391356009,4232685.0,1764.122,33.3244,9.29903,0.0178994,2365.5882588423647,10.2,93.5718818734975,78.1565006207934,111.793292169142,6.77583333333333,1.80434994635721,2.1495490160917,2347.54001286066,4018.15538187068,7.18924330340971,116.692819704865,3.43593984811892,3.13356400154557,23.829298673817,27.9738396418452,61.522551633189,55.1702680716755,37.9181748920386,29.5805029456399,52.6404701499991,9.44135495796228,27.0460183720806,1379.29175743715,20.2,91.6,5256149.21617508,1281965.13248,37.817338370295,43.4026894243379,34.880306915383,0.24534,15.6186928492244,2370.8,802.0,4329.0,3.72561001777649,3.24312782,0,-1.2443159933620158,-0.7126008580592854,-1.6957192543184285
THA,2004,3.74998480577041,1.0569996746279,-0.246132239699364,0.06238729134202,-0.717405676841736,0.261547863483429,0.219655558466911,0.126583278179169,42.3578746279834,42.1445999145508,64.848,65452047.0,36.785516284484,0.896077275303913,72.1,245.45,9821.0,7.93862893411916,4847000.0,1868.578,41.1989,10.6773,0.251749,2365.5882588423647,10.4,93.5718818734975,66.7398841658664,107.436353601997,4.55308715722008,2.7591492623108,3.56925942602997,2641.56268717857,4232.77157261934,6.28934214285795,127.411873720393,3.38947495269123,1.59597338993786,25.6814147024811,27.8994841062468,65.9718573391185,61.4400163812742,37.9023024950671,29.4189680545022,52.8065873658848,9.29111013904814,24.3963998008709,1477.38480877104,19.9,92.2,5458208.22204141,1326832.2188,38.0277554855253,43.5847246961185,35.0603848186498,0.23828,15.6186928492244,2795.66,819.0,4554.0,4.03088998794556,3.13893151,0,-1.2184230309952313,-1.2443159933620158,-1.7749243891040216
THA,2005,3.675432642632,1.43239138748392,-0.206432834267616,-0.0075570750050246,-0.870126605033875,0.340901643037796,0.453963398933411,-0.0982957854866982,42.0963439239568,44.3367195129395,65.259,66017420.0,38.1301594392881,0.860087894461849,72.894,234.177,9821.0,8.10532765493922,5115213.0,2002.424,46.1397,15.026,0.841437,2365.5882588423647,10.7,93.5718818734975,65.4373555123935,104.104191381316,4.71935005845093,4.54036919634535,5.09155618304895,2867.70383436062,4372.25730206261,4.18763842884337,137.853866832247,4.33958708070528,-4.036464315232,30.4207508630674,28.2409524233023,68.402716900887,69.4511499313604,38.5052107116361,29.6150680597619,52.3004340059921,9.19435528237181,25.4581282780769,1508.58026062719,20.1,92.8,8617635.91447999,2143436.75384,38.2381726007555,43.7667599678992,35.1347648221731,0.21889,15.6186928492244,3666.24,891.0,5449.0,3.93859004974365,3.15972233,0,-1.141202090123153,-1.2184230309952313,-1.8137117907436417
