sim_id,true_ate,est_ate,ci_lower,ci_upper,ci_width,covered,significant,success
76,-1.73,-1.7859326416193722,-2.0923176670169883,-1.479547616221756,0.6127700507952323,True,True,True
77,-1.73,-1.7655876960089572,-2.0399816114918257,-1.4911937805260886,0.548787830965737,True,True,True
78,-1.73,-1.5632009858169402,-1.823897447467506,-1.3025045241663744,0.5213929233011316,True,True,True
79,-1.73,-1.7739085713518625,-2.0166607142434074,-1.5311564284603174,0.48550428578309,True,True,True
80,-1.73,-1.5697508391793875,-1.8286836559927995,-1.3108180223659756,0.5178656336268239,True,True,True
81,-1.73,-1.6010973840372782,-1.8986259204941147,-1.303568847580442,0.5950570729136728,True,True,True
82,-1.73,-1.6997528031814146,-2.0232585968876586,-1.3762470094751709,0.6470115874124878,True,True,True
83,-1.73,-1.7793106743470537,-2.0530334042362024,-1.505587944457905,0.5474454597782974,True,True,True
84,-1.73,-1.6615581051375217,-1.9312208206653685,-1.3918953896096748,0.5393254310556936,True,True,True
85,-1.73,-1.7701469747029677,-2.0572484476886963,-1.4830455017172393,0.574202945971457,True,True,True
86,-1.73,-1.7136216008758667,-1.9662794502451493,-1.460963751506584,0.5053156987385652,True,True,True
87,-1.73,-1.7467709233384139,-2.1057493209072273,-1.3877925257696007,0.7179567951376267,True,True,True
88,-1.73,-1.559074692642637,-1.8487016139027368,-1.2694477713825374,0.5792538425201994,True,True,True
89,-1.73,-1.7537723640177858,-2.0035059309027177,-1.504038797132854,0.49946713376986374,True,True,True
90,-1.73,-1.5725304617234934,-1.864137782913422,-1.280923140533565,0.583214642379857,True,True,True
91,-1.73,-1.5986127323013748,-1.8972631357071172,-1.2999623288956323,0.5973008068114849,True,True,True
92,-1.73,-1.6868354482881907,-1.9385161120508752,-1.4351547845255062,0.503361327525369,True,True,True
93,-1.73,-1.6099973273358401,-1.8708944160603869,-1.3491002386112934,0.5217941774490935,True,True,True
94,-1.73,-1.590648841920804,-1.908590410318184,-1.272707273523424,0.6358831367947602,True,True,True
95,-1.73,-1.702222126819722,-1.9917334076433089,-1.4127108459961353,0.5790225616471736,True,True,True
96,-1.73,-1.5326478228993872,-1.8783535612699325,-1.186942084528842,0.6914114767410904,True,True,True
97,-1.73,-1.7931739578381949,-2.122138589771116,-1.464209325905274,0.657929263865842,True,True,True
98,-1.73,-1.5067223188297483,-1.7728520809703885,-1.2405925566891083,0.5322595242812802,True,True,True
99,-1.73,-1.6632053191164262,-1.973251948821358,-1.3531586894114946,0.6200932594098634,True,True,True
