country,year,CO2_per_capita,ICT_exports,Internet_users,Mobile_subs,GDP_per_capita,GDP_growth,Trade_openness,Gross_investment,Inflation,Energy_use,Renewable_energy,Electricity_access,Industry_VA,Manufacturing,Services,Agriculture,Population,Urban_pop,Tertiary_enroll,Forest_area,OECD
EGY,2003,205.569354279757,2.99647791926307,4.03789,7.44671,1031.27556291284,3.19345473739745,46.1796407185629,16.8862275449102,4.50777636319304,647.53985335306,7.4,98.8,33.3705868263473,17.3038323353293,44.9042395209581,15.2867065868263,77853548.0,42.8834685533792,26.0245094299316,0.0614184539655432,0
EGY,2004,205.371863885323,3.08595015707986,11.92,9.61664,991.255689145253,4.0920716112534,57.8199052132701,16.9379765093756,11.270619332052,692.141360028845,7.6,97.8,34.6679167525242,17.2369668246446,45.0910776839069,14.2699361219864,79477443.0,42.9255593360476,27.2862091064453,0.0620643929880958,0
EGY,2005,216.75753433084,2.6422903036346,12.75,16.8057,1105.53920713903,4.47174447174434,62.9526462395543,17.9758588672238,4.86939696871988,778.769640304157,6.5,99.4,34.1486722376973,16.709452181987,45.9292479108635,13.9816898792943,81101004.0,42.9569271409488,28.4127006530762,0.0627103320106484,0
EGY,2006,221.81331409054,3.39087049490223,13.66,21.7666,1298.97900203124,6.84383819379117,61.5185365063947,18.7307754573418,7.64452644526434,806.402489163819,6.2,99.0,36.1547353084021,15.9775619232637,44.6899951432734,13.2372025254978,82700403.0,42.9729991680104,28.3695907592773,0.0633562710332011,0
EGY,2007,227.835762384918,4.23648926461887,16.03,35.7084,1547.74170735909,7.08782742681038,65.077873254565,20.8512352309345,9.3189690579923,844.384421346476,6.0,98.4,35.0653866809882,15.3699248120301,46.8939983888292,13.4201262083781,84276225.0,42.9729666344509,28.8399200439453,0.0640022100557537,0
EGY,2008,223.511169597545,7.34387983252984,18.01,48.0833,1896.21594269779,7.15628356605819,71.6806253489671,22.3897264098269,18.3168316831684,859.150259001023,5.9,99.8,36.2125516471245,15.5223673925181,46.6682970407594,12.6302400893356,85864789.0,42.9608989120873,28.6861095428467,0.0646481490783063,0
EGY,2009,209.992822328011,4.70543406537235,20.0,63.2585,2161.63964573927,4.67359979952391,56.5534446363462,19.1901746305891,11.7634954386443,862.435116243687,5.7,98.9,35.8164459796584,15.786154289004,46.5660621761658,12.9979466513145,87501636.0,42.9383470624904,29.2693099975586,0.0652940881008589,0
EGY,2010,198.029734936608,4.18238333263326,21.6,79.2199,2455.08194645282,5.1472348575531,47.9363500745898,19.5010774075916,11.2651882653185,838.166707475228,5.4,99.4,35.7845184816841,16.102270843693,46.2327200397812,13.3407591579645,89196072.0,42.9057175520154,30.0727383660214,0.0659400271234115,0
EGY,2011,175.703294101604,4.66885410353403,25.6,91.5823,2590.64384891965,1.7645719489982,45.2556341623514,17.1030559404857,10.0649259874818,860.053119855617,5.4,99.4,35.9517175990081,15.7671942236161,45.7160236306615,13.8691050980964,91093059.0,42.8634168470177,25.5901820932158,0.0624802852981064,0
EGY,2012,150.829715114776,4.97868313210945,26.4,103.905,2996.0677072015,2.22619979863525,40.7117692721084,16.0267510598913,7.11172943343083,866.240866672303,5.3,99.7,39.2513148623634,16.1654744133278,51.771621185884,11.2727652713919,93161001.0,42.8118514138525,26.2271566255146,0.0590205434728013,0
EGY,2013,145.176501261712,5.19672535114859,29.4,104.585,3025.52563552448,2.18546605362143,40.373038056332,14.2119974199097,9.46971981064921,825.189960336054,5.3,99.9,39.8869544184046,16.608374543109,52.3007390883681,11.2743496022361,95333553.0,42.7514277188751,28.3479816954113,0.0555608016474961,0
EGY,2014,120.160460207624,4.62379438842613,33.8946,97.7313,3133.39102265541,2.91591187985748,36.9201877934272,13.6431924882629,10.0702154687481,832.772090858109,5.4,99.8,39.890323943662,16.7744460093897,52.320985915493,11.3377089201878,97528654.0,42.6825522284408,29.1134325604942,0.052101059822191,0
EGY,2015,66.8965137308065,4.36874612293335,37.8194,94.3962,3306.98159414141,4.37201907790141,34.8459429600229,14.2886370146078,10.370490343517,810.817127279737,5.3,99.3,36.6302017267482,16.6974467040386,53.1705429845738,11.3940627685257,99597342.0,42.6056314089048,32.8848991394043,0.0486413179968858,0
EGY,2016,68.3189436045257,6.54196677936205,41.2481,96.2092,3270.6287768197,4.34664345555447,30.2465490514505,15.0402303092936,13.813606214829,872.581407763809,5.1,100.0,32.4559533476046,16.8413264929505,54.4832841219458,11.769316084742,101644589.0,42.5210717266225,31.8731307983398,0.0451855944547692,0
EGY,2017,46.2314023610949,3.49060418831551,44.9502,99.2884,2395.10333299491,4.18122099994778,42.8321343581608,18.734101042151,29.5066083940039,897.218073562482,4.9,100.0,34.3958677753768,16.59352061052,53.1699504909872,10.9863806449848,103696057.0,42.4486008687179,33.1018892935221,0.0451855944547692,0
EGY,2018,45.5711515044383,3.19169243691063,46.9243,88.7421,2484.70315630508,5.3311086189448,45.9110196733959,20.6249196348206,14.4014657807422,870.813573488394,5.0,100.0,35.3298750589345,16.3508895889589,51.6422459388796,10.8302490249025,105682094.0,42.4577177449969,36.1230010986328,0.0451855944547692,0
EGY,2019,28.5565011811913,3.33885551186603,57.2829,88.6448,2962.98892023003,5.55209307156956,41.1240171551108,20.6540385989993,9.15279959324804,844.783013447093,6.2,100.0,35.8254244102931,15.9882989635454,50.7617519656898,10.6971354538956,107553158.0,42.4812027332648,33.622825887244,0.0451855944547692,0
EGY,2020,15.6889805767143,7.12895360965142,71.9142,87.2317,3511.11381026379,3.55016483786838,32.1262555667523,18.8180606572831,5.04493288977539,805.259456646637,6.7,100.0,32.3694442999707,16.3804560673536,52.0271088645451,11.1668239443487,109315124.0,42.5181534630674,38.773998260498,0.0451855944547692,0
